conditions,drug,indication,type,effective,easeofuse,satisfaction
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,4.18,4,3.77
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,3.44,3.11,2.67
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,3.25,4,3
adenocarcinoma of pancreas,Capecitabine,Off Label,RX,3.75,4.5,3.75
adenocarcinoma of pancreas,Fluorouracil,On Label,RX,3,1,3
adenocarcinoma of pancreas,Mitomycin,On Label,RX,2.5,2,2
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,2,2,3
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,2,2,3
adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,5,5,3
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,1,3,1
adenocarcinoma of pancreas,Cisplatin,Off Label,RX,3,3,3
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,3,2,3
Atopic Dermatitis,Prednisone,On Label,RX,3.54,3.64,2.74
Atopic Dermatitis,Prednisone,On Label,RX,3.54,3.64,2.74
Atopic Dermatitis,Prednisone,On Label,RX,3.54,3.64,2.74
Atopic Dermatitis,Methylprednisolone,On Label,RX,3.3,3.92,2.82
Atopic Dermatitis,Cetirizine,Off Label,OTC,3.59,4.18,2.81
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.03,3.17,2.68
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,4.44,3.85
Atopic Dermatitis,Clobetasol,On Label,RX,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,3.94,4.34,3.82
Atopic Dermatitis,Clobetasol,On Label,RX,3.94,4.34,3.82
Atopic Dermatitis,Methylprednisolone,On Label,RX,3.39,3.97,3.11
Atopic Dermatitis,Methylprednisolone,On Label,RX,3.35,3.31,2.92
Atopic Dermatitis,Dexamethasone,On Label,RX,3.38,3.27,2.47
Atopic Dermatitis,Dexamethasone,On Label,RX,3.38,3.27,2.47
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3.52,3,3.14
Atopic Dermatitis,Cetirizine,Off Label,RX/OTC,3.27,4.14,3.05
Atopic Dermatitis,Pimecrolimus,On Label,RX,3.26,4.14,3.17
Atopic Dermatitis,Fluocinonide,On Label,RX,4.7,4.7,4.7
Atopic Dermatitis,Dexamethasone,On Label,RX,3.67,3.2,1.93
Atopic Dermatitis,Desonide,On Label,RX,2.9,4.1,2.9
Atopic Dermatitis,Desonide,On Label,RX,2.9,4.1,2.9
Atopic Dermatitis,Desonide,On Label,RX,2.9,4.1,2.9
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,3.91,4.55,4
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,3.91,4.55,4
Atopic Dermatitis,Dexamethasone,On Label,RX,3.38,3.12,2.27
Atopic Dermatitis,Tacrolimus,On Label,RX,3.62,4.1,3.62
Atopic Dermatitis,Clobetasol,On Label,RX,3.89,4.04,3.43
Atopic Dermatitis,Clobetasol,On Label,RX,3.89,4.04,3.43
Atopic Dermatitis,Mometasone,On Label,RX,4.88,4.88,4.88
Atopic Dermatitis,Hydrocortisone,On Label,RX,4.36,4.23,3.59
Atopic Dermatitis,Methylprednisolone,On Label,RX,3.5,3.9,3.3
Atopic Dermatitis,Desoximetasone,On Label,RX,3.44,4.67,3.11
Atopic Dermatitis,Desoximetasone,On Label,RX,3.44,4.67,3.11
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,4.2,4.2,4
Atopic Dermatitis,Hydrocortisone,On Label,RX,4.31,4.13,3.69
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,3.22,3.33,3.11
Atopic Dermatitis,Hydrocortisone Butyr-Emollient,On Label,RX,4.57,4.86,4.43
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,4.31,4.38,4.15
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,4.31,4.38,4.15
Atopic Dermatitis,Mometasone,On Label,RX,4.67,4.5,4.67
Atopic Dermatitis,Prednisone,On Label,RX,1,2.8,1
Atopic Dermatitis,Fluocinolone,On Label,RX,4.45,4.55,4.36
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.75,3.5,3.75
Atopic Dermatitis,Methylprednisolone,On Label,RX,3.67,4.33,3.17
Atopic Dermatitis,Dexamethasone,On Label,RX,2.4,2.8,1.8
Atopic Dermatitis,Vit E-Grape-Hyaluronate Sodium,On Label,RX,3.69,4.54,3.77
Atopic Dermatitis,Fluocinonide,On Label,RX,3.8,4.2,3.6
Atopic Dermatitis,Cortisone,On Label,RX,4.6,4.2,3.2
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3.8,4.6,3.8
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3.8,4.6,3.8
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3.33,3.67,3.33
Atopic Dermatitis,Prednisone,On Label,RX,4.33,3.33,2.33
Atopic Dermatitis,Clobetasol,On Label,RX,4.75,4.38,4.13
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,3,3.67,3
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,4,3.7,3.6
Atopic Dermatitis,Desoximetasone,On Label,RX,3.67,4.67,3.67
Atopic Dermatitis,Desoximetasone,On Label,RX,3.67,4.67,3.67
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,5,4.67,5
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3.67,3,3.67
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,3.88,4.75,3.5
Atopic Dermatitis,Hydrocortisone-Iodoquinl-Aloe2,"
",RX,3,3,3
Atopic Dermatitis,Fluocinonide,On Label,RX,4.25,4,4
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,5,5,5
Atopic Dermatitis,Fluocinolone,On Label,RX,4.14,4.29,4
Atopic Dermatitis,Prednisolone,On Label,RX,3.33,3,3
Atopic Dermatitis,Fluocinolone,On Label,RX,3.75,4.25,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,3.75,4.25,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,3.75,4.25,3.75
Atopic Dermatitis,Cetirizine,Off Label,OTC,4,4.5,3.75
Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,3.75,4.25,3.5
Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,3.75,4.25,3.5
Atopic Dermatitis,Prednicarbate,On Label,RX,5,5,5
Atopic Dermatitis,Prednicarbate,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,3,3,3
Atopic Dermatitis,Cetirizine,Off Label,OTC,3,4.33,1.67
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,5,5,5
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,5,2.33
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,5,2.33
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,3.75,4.75,3.75
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,3.75,4.75,3.75
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,3.75,4.75,3.75
Atopic Dermatitis,Fluocinolone,On Label,RX,3,3.5,3
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,3.67,4.67,3.67
Atopic Dermatitis,Diflorasone,On Label,RX,5,5,5
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,4.33,5,4.33
Atopic Dermatitis,Clobetasol,On Label,RX,3.25,5,3.25
Atopic Dermatitis,Desonide,On Label,RX,4.67,4.67,4.67
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,2,2.67,2
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,1,3,1
Atopic Dermatitis,Dexamethasone,On Label,RX,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5,5,5
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,3,3.67,2.67
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,3,3.67,2.67
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1.8,3.2,3
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,3,3.5,3
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3.5,4.5,3.5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1,5,1
Atopic Dermatitis,Doxepin,On Label,RX,3.67,3.67,3.33
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,3,3
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,4,4.5,4.5
Atopic Dermatitis,Desoximetasone,On Label,RX,3,3,3
Atopic Dermatitis,Doxepin,On Label,RX,5,4.5,4.5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,3.5,4
Atopic Dermatitis,Cetirizine,Off Label,OTC,4,5,5
Atopic Dermatitis,"Hydrocortisone, Pramoxine-Benzyl Alcohol",On Label,OTC,5,5,5
Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,1.5,3,1
Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,1.5,3,1
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,5,5,5
Atopic Dermatitis,Fluocinolone,On Label,RX,4,3.5,3.5
Atopic Dermatitis,Dexamethasone,On Label,RX,5,5,5
Atopic Dermatitis,Dexamethasone,On Label,RX,3,3,3
Atopic Dermatitis,Alclometasone,On Label,RX,4.5,5,4.5
Atopic Dermatitis,Alclometasone,On Label,RX,1,5,1
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,4,3.67,3.67
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3.5,4.5,3
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,5,4
Atopic Dermatitis,Amcinonide,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,5,5,5
Atopic Dermatitis,Fluocinonide,On Label,RX,5,5,5
Atopic Dermatitis,"Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh",On Label,"
",2,3,2.5
Atopic Dermatitis,Tacrolimus,On Label,RX,5,4,5
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,1,3,2
Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,1,3,2
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,1,1,1
Atopic Dermatitis,Desonide,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,5,5,5
Atopic Dermatitis,Diflorasone,On Label,RX,5,5,5
Atopic Dermatitis,Amcinonide,On Label,RX,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,1,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1,5,1
Atopic Dermatitis,Hydrocortisone Probutate,On Label,RX,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.5,3.5,3.5
Atopic Dermatitis,Triamcinolone-Emollient Comb86,On Label,RX,1,1,1
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,5,5,5
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,4,4,5
Atopic Dermatitis,Dexamethasone Sodium Phos (PF),On Label,RX,5,4,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1,1,1
Atopic Dermatitis,Cetirizine,Off Label,OTC,5,5,5
Atopic Dermatitis,Flurandrenolide,On Label,RX,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5,5,5
Atopic Dermatitis,Dexamethasone,On Label,RX,4,5,5
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3,2,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Cetirizine,Off Label,OTC,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Methylprednisolone,On Label,RX,2,4,3
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1,1,1
Atopic Dermatitis,Hydrocortisone-Iodoquinol,"
",RX,4,4,4
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,3,3,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1,5,1
Atopic Dermatitis,Dexamethasone,On Label,RX,1,1,1
Atopic Dermatitis,Dexamethasone,On Label,RX,4,5,4
Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1,1,1
Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1,1,1
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,5,3,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,4,2,4
Atopic Dermatitis,Hydrocortisone Sod Succ (PF),On Label,RX,4,5,4
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,4,3,3
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,4,3,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2,2,2
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,4,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,4,4,4
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,3,3,1
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2,1,1
Atopic Dermatitis,Hydrocortisone Acetate,On Label,RX/OTC,2,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,RX/OTC,2,4,2
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,4,5,4
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,4,2,2
Atopic Dermatitis,Desonide,On Label,RX,5,5,5
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,5,5,5
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,5,5,4
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,5,5,5
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1,1,1
Atopic Dermatitis,Hydrocortisone,On Label,OTC,3,4,2
Atopic Dermatitis,Flurandrenolide,On Label,RX,5,5,5
Atopic Dermatitis,Hydrocortisone,On Label,RX,4,4,3
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,1,1,1
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,5,5,4
Atopic Dermatitis,Prednisone,On Label,RX,4,5,4
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5,5,5
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1,4,1
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1,3,1
Atopic Dermatitis,Desonide-Emollient Combo No 28,On Label,RX,4,4,4
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,2,3
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,2,3
Atopic Dermatitis,Hydrocortisone,On Label,OTC,5,5,5
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5,5,5
Atopic Dermatitis,Fluocinolone-Skin Clnsr28,On Label,RX,5,5,5
Atopic Dermatitis,Prednisone,On Label,RX,5,5,5
Atopic Dermatitis,Fluocinonide,On Label,RX,5,5,5
Atopic Dermatitis,Vit E-Glycerin-Dimethicone,On Label,"
",4,5,5
Atopic Dermatitis,Diflorasone,On Label,RX,4,5,5
Atopic Dermatitis,Prednisolone,On Label,RX,3,2,2
Atopic Dermatitis,Hydrocortisone-Oatmeal-Aloe-E,On Label,OTC,1,3,1
back pain,Acetaminophen,On Label,OTC,3.07,3.85,3.15
back pain,Capsaicin,On Label,OTC,2.53,2.63,2.5
back pain,Capsaicin,On Label,OTC,2.74,3.71,2.66
back pain,Acetaminophen,On Label,OTC,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,3.31,4.06,3.13
back pain,Acetaminophen,On Label,OTC,3.31,4.06,3.13
back pain,"Capsaicin-Menthol, Capsaicin",On Label,OTC,2.47,3.47,2.16
back pain,Capsaicin,On Label,OTC,3.13,3.38,3.13
back pain,Trolamine Salicylate,"
",OTC,2.89,4,2.89
back pain,Trolamine Salicylate,"
",OTC,4,4.8,4
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,4.92,4.92,4.83
back pain,Acetaminophen,On Label,OTC,3.73,4.36,3.55
back pain,Acetaminophen,On Label,OTC,4.5,4,4.25
back pain,Acetaminophen,On Label,OTC,3,4.25,2.5
back pain,Acetaminophen,On Label,OTC,2.2,4,2.8
back pain,Acetaminophen,On Label,OTC,3.5,4,3.75
back pain,Capsaicin,On Label,OTC,2.33,3,2
back pain,Trolamine Salicylate,"
",OTC,4,5,3.75
back pain,Capsaicin,On Label,OTC,2,2,2
back pain,Acetaminophen,On Label,OTC,3.67,4.67,4.33
back pain,Acetaminophen,On Label,OTC,4.5,4.5,4.5
back pain,Capsaicin,On Label,OTC,4.33,4.33,4.67
back pain,"ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf",On Label,OTC,2.6,3,2.8
back pain,Trolamine Salicylate,"
",OTC,3,3,3
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,2,2,1
back pain,Capsaicin,On Label,OTC,4.75,4.5,4
back pain,Trolamine Salicylate,"
",OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,1.5,2.5,1.5
back pain,Acetaminophen,On Label,OTC,4.5,4,4.5
back pain,Capsaicin,On Label,OTC,3,3.5,3
back pain,Menthol,On Label,OTC,4.67,4.33,4.67
back pain,Trolamine Salicylate,"
",OTC,5,5,5
back pain,Capsaicin,On Label,OTC,2.67,5,2.67
back pain,Acetaminophen,On Label,OTC,5,5,3
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Menthol,On Label,OTC,5,5,5
back pain,"Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,4,5,4
back pain,Acetaminophen,On Label,OTC,4,5,4
back pain,Acetaminophen,On Label,OTC,4,5,4
back pain,Trolamine Salicylate,"
",OTC,3,4,3
back pain,Menthol,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,4,4,4
back pain,Acetaminophen,On Label,OTC,4,4,4
back pain,Acetaminophen,On Label,OTC,4,4,4
back pain,Capsaicin,On Label,OTC,3,5,3
back pain,Trolamine Salicylate,"
",OTC,4,5,5
back pain,Menthol,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,1,1,1
back pain,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",On Label,OTC,5,5,2
back pain,Acetaminophen,On Label,OTC,3,4,1
back pain,Capsaicin,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,1,1,2
back pain,Menthol,On Label,OTC,5,5,5
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,5,5,5
back pain,Trolamine Salicylate,"
",OTC,5,5,5
back pain,Capsaicin,On Label,OTC,2.5,4.5,2.5
back pain,Acetaminophen,On Label,OTC,5,1,1
back pain,"Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil","
",OTC,5,3,3
back pain,Menthol,On Label,OTC,5,5,5
back pain,Capsaicin-Camphor-Menthol,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,3,4,2
back pain,Acetaminophen,On Label,OTC,1.5,3,1.5
back pain,Menthol,On Label,OTC,3,4.5,3
back pain,Acetaminophen,On Label,OTC,2,4,3
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Menthol,On Label,OTC,1,5,1
back pain,Capsaicin,On Label,OTC,3,4,4
back pain,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5,5,4
back pain,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5,5,4
back pain,Acetaminophen,On Label,OTC,4,2,4
back pain,Acetaminophen,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,3,3,5
back pain,Menthol,On Label,OTC,5,5,5
back pain,Menthol,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Capsaicin,On Label,OTC,5,5,5
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,1,1,1
back pain,Trolamine Salicylate,"
",OTC,3,4,1
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Menthol,On Label,OTC,3,3,2
back pain,Menthol,On Label,OTC,5,5,5
back pain,Trolamine Salicylate-Aloe Vera,"
",OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,3,4,3
back pain,"Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,5,5,5
